invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
2302,33941.47,0,0,0,0,0,266831.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300772.52099999995,0.11284764275390705,0,0,0,0,0,0.8871523572460931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2303,0,0,0,0,0,0,286187.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286187.413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2304,0,0,0,0,0,0,352336.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352336.485,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2305,15299.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15299.392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2306,15357.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15357.193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2307,68377.316,0,0,275427.647,0,0,441386.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1730000001,0.08708365344805016,0,0,0.3507778187924178,0,0,0.562138527759532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2308,87858.986,0,0,0,0,0,204463.569,0,15064.561,0,0,0,0,0,0,0,0,0,0,0,0,0,307387.116,0.2858252068053497,0,0,0,0,0,0.6651663598027967,0,0.04900843339185368,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2309,0,0,0,0,0,0,197831.865,0,51180.285,0,0,0,0,0,0,0,0,0,0,0,0,0,249012.15,0,0,0,0,0,0,0.794466715780736,0,0.205533284219264,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2310,0,0,0,0,0,0,86132.99399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86132.99399999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2311,0,0,0,0,0,0,169665.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169665.461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2313,206254.418,0,0,0,0,0,65.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206320.247,0.9996809377608006,0,0,0,0,0,3.190622391994325e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2314,0,0,0,0,0,0,97853.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97853.068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2315,0,0,0,0,0,0,13677.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677.365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2316,6377.893,0,0,0,0,0,113343.29699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119721.18999999999,0.053272883438595965,0,0,0,0,0,0.9467271165614041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2320,0,0,0,0,0,0,215711.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215711.884,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2321,125.482,0,0,0,0,0,626333.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626458.603,2.003037381865119e-4,0,0,0,0,0,0.9997996962618135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2322,278203.482,0,0,0,0,0,440635.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718839.204,0.38701768135617715,0,0,0,0,0,0.6129823186438229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
